Site_ID,Vis1,Vis2,Vis3,Vis4
1,0,0,0,0
2,4,3,0,0
3,2,4,6,0
4,9,5,6,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,5,1,NA,NA
12,0,0,NA,NA
13,1,0,0,0
14,0,0,0,0
15,5,3,7,4
16,2,3,NA,NA
17,13,8,10,7
18,2,2,4,5
19,7,2,1,NA
20,7,6,2,2
21,7,3,2,0
22,0,0,0,NA
23,NA,NA,NA,NA
24,3,2,3,3
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,4,7,8,7
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,5,6,9,3
45,3,3,1,NA
46,10,6,17,16
47,5,11,0,0
48,4,5,4,5
49,8,11,9,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,5,1,0,0
53,10,13,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,1,2,10,7
62,9,6,6,7
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,1,2,2,1
68,0,2,3,4
69,4,NA,NA,NA
70,5,1,0,4
71,NA,NA,NA,NA
72,2,2,8,6
73,7,7,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,4,1,4,NA
80,1,1,3,3
81,0,0,0,0
82,4,2,1,2
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,0,0,0,0
95,NA,NA,NA,NA
96,0,0,NA,NA
97,3,1,0,0
98,0,0,0,NA
99,NA,NA,NA,NA
100,NA,NA,NA,NA
101,NA,NA,NA,NA
102,NA,NA,NA,NA
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,4,2,12,10
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,NA,NA,NA,NA
110,NA,NA,NA,NA
111,NA,NA,NA,NA
112,0,0,2,4
113,8,2,NA,NA
114,4,2,10,13
115,NA,NA,NA,NA
116,0,0,0,0
117,9,10,9,13
118,1,0,0,1
119,0,0,0,NA
120,0,0,NA,NA
121,8,4,9,12
122,NA,NA,NA,NA
123,0,0,0,NA
124,0,0,0,0
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,NA,NA,NA,NA
128,NA,NA,NA,NA
129,NA,NA,NA,NA
130,NA,NA,NA,NA
