Site_ID,Vis1,Vis2,Vis3,Vis4
1,0,0,0,0
2,1,0,0,0
3,3,1,3,0
4,0,0,0,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,1,2,NA,NA
12,18,10,NA,NA
13,4,2,0,1
14,7,7,2,3
15,0,0,0,0
16,3,2,NA,NA
17,0,0,0,0
18,0,0,0,0
19,0,0,0,NA
20,0,0,0,0
21,0,0,0,0
22,0,0,0,NA
23,NA,NA,NA,NA
24,0,0,0,0
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,8,0,0,0
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,0,0,0,3
45,0,0,0,NA
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,2,0,2,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,0,0,0,0
53,0,0,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,0,0,0,0
62,0,0,0,0
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,0,0,0,0
68,0,0,0,0
69,0,NA,NA,NA
70,0,0,0,0
71,NA,NA,NA,NA
72,0,0,0,0
73,0,0,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,0,0,0,NA
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,12,8,3,4
95,NA,NA,NA,NA
96,2,3,NA,NA
97,7,6,0,0
98,13,5,0,NA
99,NA,NA,NA,NA
100,NA,NA,NA,NA
101,NA,NA,NA,NA
102,NA,NA,NA,NA
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,0,0,0,0
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,NA,NA,NA,NA
110,NA,NA,NA,NA
111,NA,NA,NA,NA
112,0,0,3,4
113,0,0,NA,NA
114,0,0,0,0
115,NA,NA,NA,NA
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,NA
120,0,0,NA,NA
121,0,0,0,0
122,NA,NA,NA,NA
123,10,12,11,NA
124,3,12,7,12
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,NA,NA,NA,NA
128,NA,NA,NA,NA
129,NA,NA,NA,NA
130,NA,NA,NA,NA
131,NA,NA,NA,NA
132,0,0,0,0
133,NA,NA,NA,NA
134,5,12,NA,NA
135,NA,NA,NA,NA
136,NA,NA,NA,NA
137,0,0,NA,NA
138,NA,NA,NA,NA
139,0,0,0,NA
140,NA,NA,NA,NA
141,0,0,0,0
142,NA,NA,NA,NA
143,NA,NA,NA,NA
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,NA,NA
150,NA,NA,NA,NA
151,NA,NA,NA,NA
152,NA,NA,NA,NA
153,NA,NA,NA,NA
154,1,1,0,0
155,0,0,NA,NA
156,0,0,0,0
157,0,0,0,NA
158,NA,NA,NA,NA
159,NA,NA,NA,NA
160,NA,NA,NA,NA
161,NA,NA,NA,NA
162,NA,NA,NA,NA
163,0,0,0,0
164,0,0,0,0
165,NA,NA,NA,NA
166,NA,NA,NA,NA
167,NA,NA,NA,NA
168,0,0,0,0
169,NA,NA,NA,NA
170,NA,NA,NA,NA
171,NA,NA,NA,NA
1,0,0,NA,NA
2,0,NA,NA,NA
3,8,6,NA,NA
4,0,0,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,1,1,6,NA
12,2,2,NA,NA
13,1,1,NA,NA
14,2,4,NA,NA
15,0,0,NA,NA
16,1,2,NA,NA
17,0,0,NA,NA
18,0,0,NA,NA
19,7,6,NA,NA
20,0,0,NA,NA
21,0,0,NA,NA
22,0,0,NA,NA
23,0,0,NA,NA
24,0,NA,NA,NA
25,4,3,NA,NA
26,0,0,NA,NA
27,6,5,NA,NA
28,0,0,NA,NA
29,0,0,NA,NA
30,1,1,NA,NA
31,1,1,NA,NA
32,0,1,0,NA
33,5,6,NA,NA
34,0,0,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,0,0,0,0
45,0,0,NA,NA
46,0,0,NA,NA
47,NA,NA,NA,NA
48,0,0,NA,NA
49,0,0,NA,NA
50,0,0,NA,NA
51,0,0,NA,NA
52,0,0,NA,NA
53,NA,NA,NA,NA
54,0,0,NA,NA
55,0,0,NA,NA
56,5,5,NA,NA
57,0,0,NA,NA
58,1,0,NA,NA
59,0,0,NA,NA
60,0,0,NA,NA
61,4,2,NA,NA
62,0,0,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,0,0,NA,NA
68,0,0,NA,NA
69,0,NA,NA,NA
70,0,0,NA,NA
71,0,0,NA,NA
72,0,0,NA,NA
73,NA,NA,NA,NA
74,0,0,NA,NA
75,0,0,NA,NA
76,0,0,NA,NA
77,6,7,NA,NA
78,0,0,NA,NA
79,0,0,NA,NA
80,NA,NA,NA,NA
81,5,3,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,6,5,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,0,0,NA,NA
91,NA,NA,NA,NA
92,0,1,NA,NA
93,2,4,NA,NA
94,NA,NA,NA,NA
95,4,3,NA,NA
96,3,3,NA,NA
97,0,NA,NA,NA
98,5,1,NA,NA
99,2,3,NA,NA
100,11,11,NA,NA
101,0,NA,NA,NA
102,0,1,NA,NA
103,0,1,NA,NA
104,2,5,NA,NA
105,5,1,NA,NA
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,NA,NA,NA,NA
110,NA,NA,NA,NA
111,NA,NA,NA,NA
112,0,0,0,NA
113,NA,NA,NA,NA
114,0,0,NA,NA
115,0,0,NA,NA
116,0,0,NA,NA
117,0,0,NA,NA
118,0,0,NA,NA
119,0,0,NA,NA
120,0,0,NA,NA
121,0,0,NA,NA
122,0,NA,NA,NA
123,NA,NA,NA,NA
124,NA,NA,NA,NA
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,NA,NA,NA,NA
128,NA,NA,NA,NA
129,NA,NA,NA,NA
130,NA,NA,NA,NA
131,NA,NA,NA,NA
132,0,0,NA,NA
133,NA,NA,NA,NA
134,4,5,NA,NA
135,NA,NA,NA,NA
136,NA,NA,NA,NA
137,0,0,NA,NA
138,0,0,NA,NA
139,0,0,NA,NA
140,0,0,NA,NA
141,0,0,NA,NA
142,NA,NA,NA,NA
143,NA,NA,NA,NA
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,0,0,NA,NA
147,0,0,NA,NA
148,0,0,NA,NA
149,0,0,NA,NA
150,NA,NA,NA,NA
151,NA,NA,NA,NA
152,NA,NA,NA,NA
153,0,0,NA,NA
154,1,0,NA,NA
155,0,0,NA,NA
156,NA,NA,NA,NA
157,0,0,NA,NA
158,NA,NA,NA,NA
159,NA,NA,NA,NA
160,NA,NA,NA,NA
161,NA,NA,NA,NA
162,NA,NA,NA,NA
163,0,0,NA,NA
164,0,0,NA,NA
165,0,0,NA,NA
166,0,0,NA,NA
167,NA,NA,NA,NA
168,0,0,NA,NA
169,1,1,NA,NA
170,0,0,NA,NA
171,3,3,NA,NA
1,0,NA,NA,NA
2,NA,NA,NA,NA
3,7,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,5,NA,NA,NA
12,NA,NA,NA,NA
13,2,NA,NA,NA
14,2,NA,NA,NA
15,NA,NA,NA,NA
16,11,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,6,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,9,NA,NA,NA
26,1,NA,NA,NA
27,12,NA,NA,NA
28,1,NA,NA,NA
29,4,NA,NA,NA
30,2,NA,NA,NA
31,12,NA,NA,NA
32,NA,NA,NA,NA
33,11,NA,NA,NA
34,0,NA,NA,NA
35,0,NA,NA,NA
36,0,NA,NA,NA
37,0,NA,NA,NA
38,0,NA,NA,NA
39,0,NA,NA,NA
40,NA,NA,NA,NA
41,0,NA,NA,NA
42,0,NA,NA,NA
43,0,NA,NA,NA
44,0,NA,NA,NA
45,0,NA,NA,NA
46,0,NA,NA,NA
47,NA,NA,NA,NA
48,0,NA,NA,NA
49,0,NA,NA,NA
50,NA,NA,NA,NA
51,0,NA,NA,NA
52,0,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,0,NA,NA,NA
56,4,NA,NA,NA
57,NA,NA,NA,NA
58,0,NA,NA,NA
59,NA,NA,NA,NA
60,0,NA,NA,NA
61,6,NA,NA,NA
62,2,NA,NA,NA
63,0,NA,NA,NA
64,2,NA,NA,NA
65,0,NA,NA,NA
66,0,NA,NA,NA
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,0,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,0,NA,NA,NA
76,NA,NA,NA,NA
77,1,NA,NA,NA
78,NA,NA,NA,NA
79,0,NA,NA,NA
80,NA,NA,NA,NA
81,3,NA,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,7,NA,NA,NA
85,12,NA,NA,NA
86,11,NA,NA,NA
87,0,NA,NA,NA
88,11,NA,NA,NA
89,7,NA,NA,NA
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,0,NA,NA,NA
93,15,NA,NA,NA
94,NA,NA,NA,NA
95,8,NA,NA,NA
96,11,NA,NA,NA
97,1,NA,NA,NA
98,13,NA,NA,NA
99,10,NA,NA,NA
100,16,NA,NA,NA
101,0,NA,NA,NA
102,2,NA,NA,NA
103,5,NA,NA,NA
104,18,NA,NA,NA
105,10,NA,NA,NA
106,6,NA,NA,NA
107,6,NA,NA,NA
108,11,NA,NA,NA
109,8,NA,NA,NA
110,NA,NA,NA,NA
111,9,NA,NA,NA
112,0,NA,NA,NA
113,NA,NA,NA,NA
114,NA,NA,NA,NA
115,NA,NA,NA,NA
116,NA,NA,NA,NA
117,NA,NA,NA,NA
118,NA,NA,NA,NA
119,NA,NA,NA,NA
120,NA,NA,NA,NA
121,NA,NA,NA,NA
122,NA,NA,NA,NA
123,10,NA,NA,NA
124,3,NA,NA,NA
125,0,NA,NA,NA
126,3,NA,NA,NA
127,0,NA,NA,NA
128,7,NA,NA,NA
129,1,NA,NA,NA
130,5,NA,NA,NA
131,10,NA,NA,NA
132,0,NA,NA,NA
133,16,NA,NA,NA
134,3,NA,NA,NA
135,12,NA,NA,NA
136,14,NA,NA,NA
137,NA,NA,NA,NA
138,1,NA,NA,NA
139,0,NA,NA,NA
140,0,NA,NA,NA
141,1,NA,NA,NA
142,5,NA,NA,NA
143,NA,NA,NA,NA
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,NA,NA,NA,NA
147,NA,NA,NA,NA
148,NA,NA,NA,NA
149,NA,NA,NA,NA
150,NA,NA,NA,NA
151,14,NA,NA,NA
152,NA,NA,NA,NA
153,0,NA,NA,NA
154,2,NA,NA,NA
155,0,NA,NA,NA
156,NA,NA,NA,NA
157,0,NA,NA,NA
158,0,NA,NA,NA
159,0,NA,NA,NA
160,NA,NA,NA,NA
161,0,NA,NA,NA
162,0,NA,NA,NA
163,NA,NA,NA,NA
164,0,NA,NA,NA
165,0,NA,NA,NA
166,NA,NA,NA,NA
167,NA,NA,NA,NA
168,NA,NA,NA,NA
169,0,NA,NA,NA
170,0,NA,NA,NA
171,2,NA,NA,NA
1,0,0,NA,NA
2,0,0,NA,NA
3,12,7,NA,NA
4,NA,NA,NA,NA
5,0,0,NA,NA
6,5,3,NA,NA
7,1,NA,NA,NA
8,0,0,NA,NA
9,0,0,NA,NA
10,0,0,NA,NA
11,6,6,NA,NA
12,NA,NA,NA,NA
13,14,13,NA,NA
14,NA,NA,NA,NA
15,0,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,1,0,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,0,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,0,0,NA,NA
27,NA,NA,NA,NA
28,0,1,NA,NA
29,NA,NA,NA,NA
30,11,NA,NA,NA
31,NA,NA,NA,NA
32,1,0,NA,NA
33,NA,NA,NA,NA
34,0,0,NA,NA
35,NA,NA,NA,NA
36,0,0,NA,NA
37,0,0,NA,NA
38,NA,NA,NA,NA
39,0,0,NA,NA
40,0,0,NA,NA
41,NA,NA,NA,NA
42,0,0,NA,NA
43,NA,NA,NA,NA
44,0,0,NA,NA
45,NA,NA,NA,NA
46,0,0,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
