Site_ID,y.1,y.2,y.3,y.4,year
1,6,6,1,1,2017
2,9,9,2,2,2017
3,4,4,3,3,2017
4,7,7,1,NA,2017
5,NA,NA,NA,NA,2017
6,NA,NA,NA,NA,2017
7,NA,NA,NA,NA,2017
8,NA,NA,NA,NA,2017
9,NA,NA,NA,NA,2017
10,NA,NA,NA,NA,2017
11,11,6,NA,NA,2017
12,1,1,NA,NA,2017
13,5,5,1,1,2017
14,4,4,1,1,2017
15,1,1,1,1,2017
16,11,11,NA,NA,2017
17,8,8,2,2,2017
18,3,3,1,1,2017
19,6,6,1,NA,2017
20,8,8,1,1,2017
21,3,3,8,8,2017
22,10,10,7,NA,2017
23,NA,NA,NA,NA,2017
24,1,1,8,8,2017
25,NA,NA,NA,NA,2017
26,NA,NA,NA,NA,2017
27,NA,NA,NA,NA,2017
28,NA,NA,NA,NA,2017
29,NA,NA,NA,NA,2017
30,NA,NA,NA,NA,2017
31,NA,NA,NA,NA,2017
32,NA,NA,NA,NA,2017
33,NA,NA,NA,NA,2017
34,3,3,10,10,2017
35,NA,NA,NA,NA,2017
36,NA,NA,NA,NA,2017
37,NA,NA,NA,NA,2017
38,NA,NA,NA,NA,2017
39,NA,NA,NA,NA,2017
40,NA,NA,NA,NA,2017
41,NA,NA,NA,NA,2017
42,NA,NA,NA,NA,2017
43,NA,NA,NA,NA,2017
44,4,4,3,3,2017
45,17,17,2,NA,2017
46,1,1,3,3,2017
47,0,0,1,1,2017
48,10,10,1,1,2017
49,0,0,0,NA,2017
50,NA,NA,NA,NA,2017
51,NA,NA,NA,NA,2017
52,17,17,2,2,2017
53,2,2,NA,NA,2017
54,NA,NA,NA,NA,2017
55,NA,NA,NA,NA,2017
56,NA,NA,NA,NA,2017
57,NA,NA,NA,NA,2017
58,NA,NA,NA,NA,2017
59,NA,NA,NA,NA,2017
60,NA,NA,NA,NA,2017
61,12,12,4,4,2017
62,5,5,6,6,2017
63,NA,NA,NA,NA,2017
64,NA,NA,NA,NA,2017
65,NA,NA,NA,NA,2017
66,NA,NA,NA,NA,2017
67,17,17,3,3,2017
68,17,17,10,10,2017
69,11,NA,NA,NA,2017
70,6,6,10,10,2017
71,NA,NA,NA,NA,2017
72,11,11,6,6,2017
73,8,8,NA,NA,2017
74,NA,NA,NA,NA,2017
75,NA,NA,NA,NA,2017
76,NA,NA,NA,NA,2017
77,NA,NA,NA,NA,2017
78,NA,NA,NA,NA,2017
79,12,12,3,NA,2017
80,0,0,12,12,2017
81,2,2,7,7,2017
82,6,6,4,4,2017
83,NA,NA,NA,NA,2017
84,NA,NA,NA,NA,2017
85,NA,NA,NA,NA,2017
86,NA,NA,NA,NA,2017
87,NA,NA,NA,NA,2017
88,NA,NA,NA,NA,2017
89,NA,NA,NA,NA,2017
90,NA,NA,NA,NA,2017
91,NA,NA,NA,NA,2017
92,NA,NA,NA,NA,2017
93,NA,NA,NA,NA,2017
94,0,0,NA,NA,2017
95,NA,NA,NA,NA,2017
96,0,0,NA,NA,2017
97,1,1,2,2,2017
98,6,6,4,NA,2017
99,NA,NA,NA,NA,2017
100,NA,NA,NA,NA,2017
101,NA,NA,NA,NA,2017
102,NA,NA,NA,NA,2017
103,NA,NA,NA,NA,2017
104,NA,NA,NA,NA,2017
105,1,1,4,4,2017
106,NA,NA,NA,NA,2017
107,NA,NA,NA,NA,2017
108,NA,NA,NA,NA,2017
109,NA,NA,NA,NA,2017
110,NA,NA,NA,NA,2017
111,NA,NA,NA,NA,2017
112,0,0,3,3,2017
113,2,2,NA,NA,2017
114,1,1,4,4,2017
115,NA,NA,NA,NA,2017
116,5,5,3,3,2017
117,3,3,3,3,2017
118,1,1,4,4,2017
119,3,3,0,NA,2017
120,0,0,NA,NA,2017
121,4,4,0,0,2017
122,NA,NA,NA,NA,2017
123,2,1,1,NA,2017
124,7,4,4,1,2017
125,NA,NA,NA,NA,2017
126,NA,NA,NA,NA,2017
127,NA,NA,NA,NA,2017
128,NA,NA,NA,NA,2017
129,NA,NA,NA,NA,2017
130,NA,NA,NA,NA,2017
131,NA,NA,NA,NA,2017
132,4,4,1,1,2017
133,NA,NA,NA,NA,2017
134,9,9,NA,NA,2017
135,NA,NA,NA,NA,2017
136,NA,NA,NA,NA,2017
137,1,8,NA,NA,2017
138,NA,NA,NA,NA,2017
139,3,3,7,NA,2017
140,NA,NA,NA,NA,2017
141,6,6,3,3,2017
142,NA,NA,NA,NA,2017
143,NA,NA,NA,NA,2017
144,NA,NA,NA,NA,2017
145,NA,NA,NA,NA,2017
146,0,0,7,7,2017
147,3,3,0,0,2017
148,3,3,2,2,2017
149,0,0,NA,NA,2017
150,NA,NA,NA,NA,2017
151,NA,NA,NA,NA,2017
152,NA,NA,NA,NA,2017
153,NA,NA,NA,NA,2017
154,8,8,2,2,2017
155,10,10,NA,NA,2017
156,10,10,10,10,2017
157,8,8,2,NA,2017
158,NA,NA,NA,NA,2017
159,NA,NA,NA,NA,2017
160,NA,NA,NA,NA,2017
161,NA,NA,NA,NA,2017
162,NA,NA,NA,NA,2017
163,6,6,10,10,2017
164,10,10,10,10,2017
165,NA,NA,NA,NA,2017
166,NA,NA,NA,NA,2017
167,NA,NA,NA,NA,2017
168,5,5,4,4,2017
169,NA,NA,NA,NA,2017
170,NA,NA,NA,NA,2017
171,NA,NA,NA,NA,2017
1,0,0,NA,NA,2018
2,0,NA,NA,NA,2018
3,0,0,NA,NA,2018
4,3,3,NA,NA,2018
5,NA,NA,NA,NA,2018
6,NA,NA,NA,NA,2018
7,NA,NA,NA,NA,2018
8,NA,NA,NA,NA,2018
9,NA,NA,NA,NA,2018
10,NA,NA,NA,NA,2018
11,5,0,4,NA,2018
12,6,6,NA,NA,2018
13,7,7,NA,NA,2018
14,7,7,NA,NA,2018
15,24,26,NA,NA,2018
16,13,13,NA,NA,2018
17,1,1,NA,NA,2018
18,1,1,NA,NA,2018
19,5,5,NA,NA,2018
20,6,6,NA,NA,2018
21,5,20,NA,NA,2018
22,15,15,NA,NA,2018
23,12,13,NA,NA,2018
24,4,NA,NA,NA,2018
25,3,5,NA,NA,2018
26,2,2,NA,NA,2018
27,9,0,NA,NA,2018
28,4,4,NA,NA,2018
29,20,20,NA,NA,2018
30,20,20,NA,NA,2018
31,6,6,NA,NA,2018
32,5,1,1,NA,2018
33,3,3,NA,NA,2018
34,0,0,NA,NA,2018
35,NA,NA,NA,NA,2018
36,NA,NA,NA,NA,2018
37,NA,NA,NA,NA,2018
38,NA,NA,NA,NA,2018
39,NA,NA,NA,NA,2018
40,NA,NA,NA,NA,2018
41,NA,NA,NA,NA,2018
42,NA,NA,NA,NA,2018
43,NA,NA,NA,NA,2018
44,0,0,6,6,2018
45,1,1,NA,NA,2018
46,7,7,NA,NA,2018
47,NA,NA,NA,NA,2018
48,15,15,NA,NA,2018
49,1,1,NA,NA,2018
50,0,0,NA,NA,2018
51,1,1,NA,NA,2018
52,1,1,NA,NA,2018
53,NA,NA,NA,NA,2018
54,5,5,NA,NA,2018
55,2,2,NA,NA,2018
56,12,12,NA,NA,2018
57,3,3,NA,NA,2018
58,7,7,NA,NA,2018
59,15,15,NA,NA,2018
60,0,0,NA,NA,2018
61,1,0,NA,NA,2018
62,7,7,NA,NA,2018
63,NA,NA,NA,NA,2018
64,NA,NA,NA,NA,2018
65,NA,NA,NA,NA,2018
66,NA,NA,NA,NA,2018
67,10,10,NA,NA,2018
