Site_ID,Area_ha,Patch_km,Wet_km,prop_2,prop_3,prop_4
1,1.25328,2.8772199,0.392453,0.345207602,0.002063099,0.002147837
2,0.243049,0.227488,0.0450572,0.322168003,0.227476666,0.194398666
3,4.3625898,2.90293,0.594236,0.498925698,0.155177354,0.106652417
4,2.1507399,1.8342299,0,0.355499168,0.134529016,0.224744332
5,0.0164048,1.8342299,1.33631,0.4955405,0.02848335,0.0219738
6,1.22798,0.305653,0.245665,0,0,0
7,0.609408,1.64995,0.353791,0,0,0
8,1.35918,0.748977,0.800586,0.216652006,0.202513993,0.239360005
9,4.0780401,4.8938699,1.15259,0.195728988,0.040434635,0.070085525
10,0.538374,1.54379,0.752651,0.11789885,0.084840003,0.075239849
11,6.29212,0.629751,0.239981,0.269948933,0.025163104,0.046136312
12,1.39669,1.99575,0.0664163,0,0,0
13,6.9822302,0.305653,0,0.157203798,0.166545507,0.495872259
14,3.1394,2.4381001,2.13203,0,0,0
15,3.7244401,1.42741,0.454944,0,0,0
16,1.86998,1.42741,1.02578,0.331423355,0.163344312,0.231016502
17,5.9661798,4.7890902,0.173318,0.27174887,0.038713932,0.032526682
18,9.1581697,2.73981,0.564105,0.469678821,0.070074063,0.02674731
19,4.8046298,2.73981,0,0.442440766,0.081225054,0.101084589
20,0.930218,6.06323,0.946407,0.301617995,0.216937304,0.070921415
21,1.75727,2.22313,0.238419,0.116105903,0.151279502,0.381260499
22,4.0780401,0.227488,0,0.291803986,0.160603002,0.271959007
23,4.0780401,0.860613,0.233725,0,0,0
24,0.417984,2.22313,0.0846828,0,0,0
25,2.03545,6.8069701,0,0.459767281,0.147299728,0.043397099
26,3.89801,0.387424,0.315454,0,0,0
27,1.29826,0.387424,0,0.260623065,0.152367138,0.114866561
28,1.17,1.0269099,0.646655,0.26112969,0.056193494,0.0339169
29,0.566579,0.206082,0.404901,0,0,0
30,1.7893699,0.206082,0.473685,0.432782432,0.146944404,0.060333678
31,5.7445898,6.7708802,0.662532,0.056470846,0.020905964,0.041051104
32,2.05599,2.6687,0.0867986,0.166999343,0.190166265,0.246426572
33,2.9519601,1.64995,0.0075879,0,0,0
34,5.7312298,0.504051,0.786236,0.105507318,0.324002994,0.358912243
35,6.0830798,0.336404,0.281213,0.2074125,0.13160613,0.031093881
36,6.3466401,2.7615499,0.537054,0.190662333,0.062080215,0.042578734
37,8.9622602,2.4379699,0,0.153033884,0.139745991,0.196338905
38,0.819167,1.1325999,0.73424,0.10049962,0.10696796,0.261521202
39,4.9570999,1.33854,0.819921,0,0,0
40,0.835967,1.67733,0.32543,0,0,0
41,0.652307,1.91056,0.526861,0,0,0
42,2.0917301,1.38546,0.240915,0,0,0
43,4.7211699,1.34409,0.241962,0,0,0
44,2.9558499,1.10515,0.233315,0.098886845,0.134369855,0.263974432
45,1.03124,2.49667,0.618966,0.273096494,0.456138998,0.074575203
46,3.8973701,0.504051,0.328691,0.104383329,0.181176856,0.38047272
47,0.680768,4.59091,0,0.198730022,0.114680072,0.139600199
48,3.4730799,2.70557,0.114989,0,0,0
49,3.9603,1.33854,0.136287,0.233880634,0.183369508,0.187448971
50,0.579756,1.86719,0,0.136268599,0.03887805,0.116761216
51,3.5431399,2.70557,0.529976,0.50152725,0.182316775,0.06744865
52,2.1743801,1.1325999,0.0860245,0.149655515,0.396152834,0.276312681
53,2.4628699,1.35271,0.524759,0.161129374,0.051537699,0.188724887
54,1.57225,4.59091,0,0.0164227,0.139236003,0.442342013
55,2.4643099,1.91056,0.12717,0.184840329,0.424185373,0.077948699
56,1.97579,0.336404,0.0792459,0.1697505,0.426248205,0.259370835
57,0.0377523,2.6333699,0.693026,0.084525697,0.00172231,0.00490196
58,4.2279801,1.67733,0.481348,0.108153558,0.054247636,0.180540375
59,2.9530499,5.5044999,0.96163,0.03830547,0.001288924,0.000756103
60,2.0945301,1.41412,0,0.124104577,0.365157288,0.299056264
61,4.70503,2.7615499,0.252038,0.293105545,0.289116576,0.160071361
62,3.8914299,0.596684,0.727505,0.168125135,0.357436354,0.304379192
63,5.4699702,1.10729,0.662856,0.141871416,0.181665917,0.366419735
64,3.99769,0.851443,0.80997,0.248106081,0.261847519,0.273391944
65,2.0820601,3.4574201,0,0.195133246,0.404557757,0.111409029
66,3.0855401,1.1573,0.404858,0.282102001,0.110404384,0.184056699
67,1.8042099,3.7973001,0.0934804,0.15470285,0.173735499,0.337621003
68,0.853536,2.1459301,0.226877,0,0,0
69,1.57548,0.488982,0.74047,0.092673667,0.087916951,0.310306499
70,0.566369,0.764457,1.39386,0.0131838,0.087235101,0.489650011
71,3.3421099,1.10729,0.73301,0.46726878,0.09315967,0.10341024
72,3.7653401,1.3833899,0,0.152056882,0.135500181,0.296010795
